Datum,"Nutzergewinnung (Neue Nutzer, Alle Ereignisse, Pro Intervall, Täglich): Alle Länder/Regionen","Nutzergewinnung (Neue Nutzer, Alle Ereignisse, Pro Intervall, Täglich): Kanada",Hinweise
15. Apr. 2018,0,0,
16. Apr. 2018,0,0,
17. Apr. 2018,0,0,
18. Apr. 2018,0,0,
19. Apr. 2018,0,0,
20. Apr. 2018,0,0,
21. Apr. 2018,0,0,
22. Apr. 2018,0,0,
23. Apr. 2018,0,0,
24. Apr. 2018,0,0,
25. Apr. 2018,0,0,
26. Apr. 2018,0,0,
27. Apr. 2018,0,0,
28. Apr. 2018,0,0,
29. Apr. 2018,0,0,
30. Apr. 2018,0,0,
1. Mai 2018,0,0,
2. Mai 2018,0,0,
3. Mai 2018,0,0,
4. Mai 2018,0,0,
5. Mai 2018,0,0,
6. Mai 2018,0,0,
7. Mai 2018,0,0,
8. Mai 2018,0,0,
9. Mai 2018,0,0,
10. Mai 2018,0,0,
11. Mai 2018,0,0,
12. Mai 2018,0,0,
13. Mai 2018,0,0,
14. Mai 2018,0,0,
15. Mai 2018,0,0,
16. Mai 2018,0,0,
17. Mai 2018,0,0,
18. Mai 2018,0,0,
19. Mai 2018,0,0,
20. Mai 2018,0,0,
21. Mai 2018,0,0,
22. Mai 2018,0,0,
23. Mai 2018,0,0,
24. Mai 2018,0,0,
25. Mai 2018,0,0,
26. Mai 2018,0,0,
27. Mai 2018,0,0,
28. Mai 2018,0,0,
29. Mai 2018,0,0,
30. Mai 2018,0,0,
31. Mai 2018,0,0,
1. Juni 2018,0,0,
2. Juni 2018,0,0,
3. Juni 2018,0,0,
4. Juni 2018,0,0,
5. Juni 2018,0,0,
6. Juni 2018,0,0,
7. Juni 2018,0,0,
8. Juni 2018,0,0,
9. Juni 2018,0,0,
10. Juni 2018,0,0,
11. Juni 2018,0,0,
12. Juni 2018,0,0,
13. Juni 2018,0,0,
14. Juni 2018,0,0,
15. Juni 2018,0,0,
16. Juni 2018,0,0,
17. Juni 2018,0,0,
18. Juni 2018,0,0,
19. Juni 2018,0,0,
20. Juni 2018,0,0,
21. Juni 2018,0,0,
22. Juni 2018,0,0,
23. Juni 2018,0,0,
24. Juni 2018,0,0,
25. Juni 2018,0,0,
26. Juni 2018,0,0,
27. Juni 2018,0,0,
28. Juni 2018,0,0,
29. Juni 2018,0,0,
30. Juni 2018,0,0,
1. Juli 2018,0,0,
2. Juli 2018,0,0,
3. Juli 2018,0,0,
4. Juli 2018,0,0,
5. Juli 2018,0,0,
6. Juli 2018,0,0,
7. Juli 2018,0,0,
8. Juli 2018,0,0,
9. Juli 2018,0,0,
10. Juli 2018,0,0,
11. Juli 2018,0,0,
12. Juli 2018,0,0,
13. Juli 2018,0,0,
14. Juli 2018,0,0,
15. Juli 2018,0,0,
16. Juli 2018,0,0,
17. Juli 2018,0,0,
18. Juli 2018,0,0,
19. Juli 2018,0,0,
20. Juli 2018,0,0,
21. Juli 2018,0,0,
22. Juli 2018,0,0,
23. Juli 2018,1,0,
24. Juli 2018,0,0,
25. Juli 2018,0,0,
26. Juli 2018,0,0,
27. Juli 2018,0,0,
28. Juli 2018,0,0,
29. Juli 2018,0,0,
30. Juli 2018,0,0,
31. Juli 2018,0,0,
1. Aug. 2018,0,0,
2. Aug. 2018,1,0,
3. Aug. 2018,0,0,
4. Aug. 2018,0,0,
5. Aug. 2018,0,0,
6. Aug. 2018,0,0,
7. Aug. 2018,0,0,
8. Aug. 2018,0,0,
9. Aug. 2018,0,0,
10. Aug. 2018,0,0,
11. Aug. 2018,0,0,
12. Aug. 2018,0,0,
13. Aug. 2018,0,0,
14. Aug. 2018,0,0,
15. Aug. 2018,0,0,
16. Aug. 2018,0,0,
17. Aug. 2018,0,0,
18. Aug. 2018,0,0,
19. Aug. 2018,0,0,
20. Aug. 2018,0,0,
21. Aug. 2018,0,0,
22. Aug. 2018,0,0,
23. Aug. 2018,0,0,
24. Aug. 2018,0,0,
25. Aug. 2018,0,0,
26. Aug. 2018,0,0,
27. Aug. 2018,0,0,
28. Aug. 2018,0,0,
29. Aug. 2018,0,0,
30. Aug. 2018,0,0,
31. Aug. 2018,0,0,
1. Sept. 2018,0,0,
2. Sept. 2018,0,0,
3. Sept. 2018,0,0,
4. Sept. 2018,0,0,
5. Sept. 2018,0,0,
6. Sept. 2018,0,0,
7. Sept. 2018,0,0,
8. Sept. 2018,0,0,
9. Sept. 2018,0,0,
10. Sept. 2018,0,0,
11. Sept. 2018,0,0,
12. Sept. 2018,0,0,
13. Sept. 2018,0,0,
14. Sept. 2018,0,0,
15. Sept. 2018,0,0,
16. Sept. 2018,0,0,
17. Sept. 2018,0,0,
18. Sept. 2018,0,0,
19. Sept. 2018,0,0,
20. Sept. 2018,0,0,
21. Sept. 2018,0,0,
22. Sept. 2018,0,0,
23. Sept. 2018,0,0,
24. Sept. 2018,0,0,
25. Sept. 2018,0,0,
26. Sept. 2018,0,0,
27. Sept. 2018,0,0,
28. Sept. 2018,0,0,
29. Sept. 2018,0,0,
30. Sept. 2018,0,0,
1. Okt. 2018,0,0,
2. Okt. 2018,0,0,
3. Okt. 2018,0,0,
4. Okt. 2018,0,0,
5. Okt. 2018,0,0,
6. Okt. 2018,0,0,
7. Okt. 2018,0,0,
8. Okt. 2018,0,0,
9. Okt. 2018,0,0,
10. Okt. 2018,0,0,
11. Okt. 2018,0,0,
12. Okt. 2018,0,0,
13. Okt. 2018,0,0,
14. Okt. 2018,0,0,
15. Okt. 2018,0,0,
16. Okt. 2018,0,0,
17. Okt. 2018,0,0,
18. Okt. 2018,0,0,
19. Okt. 2018,0,0,
20. Okt. 2018,0,0,
21. Okt. 2018,0,0,
22. Okt. 2018,0,0,
23. Okt. 2018,0,0,
24. Okt. 2018,0,0,
25. Okt. 2018,0,0,
26. Okt. 2018,0,0,
27. Okt. 2018,0,0,
28. Okt. 2018,0,0,
29. Okt. 2018,0,0,
30. Okt. 2018,0,0,
31. Okt. 2018,0,0,
1. Nov. 2018,0,0,
2. Nov. 2018,0,0,
3. Nov. 2018,0,0,
4. Nov. 2018,0,0,
5. Nov. 2018,0,0,
6. Nov. 2018,0,0,
7. Nov. 2018,0,0,
8. Nov. 2018,0,0,
9. Nov. 2018,0,0,
10. Nov. 2018,0,0,
11. Nov. 2018,0,0,
12. Nov. 2018,0,0,
13. Nov. 2018,0,0,
14. Nov. 2018,0,0,
15. Nov. 2018,0,0,
16. Nov. 2018,0,0,
17. Nov. 2018,0,0,
18. Nov. 2018,0,0,
19. Nov. 2018,0,0,
20. Nov. 2018,0,0,
21. Nov. 2018,0,0,
22. Nov. 2018,0,0,
23. Nov. 2018,0,0,
24. Nov. 2018,0,0,
25. Nov. 2018,0,0,
26. Nov. 2018,0,0,
27. Nov. 2018,0,0,
28. Nov. 2018,0,0,
29. Nov. 2018,0,0,
30. Nov. 2018,0,0,
1. Dez. 2018,0,0,
2. Dez. 2018,0,0,
3. Dez. 2018,0,0,
4. Dez. 2018,0,0,
5. Dez. 2018,0,0,
6. Dez. 2018,0,0,
7. Dez. 2018,0,0,
8. Dez. 2018,0,0,
9. Dez. 2018,0,0,
10. Dez. 2018,0,0,
11. Dez. 2018,0,0,
12. Dez. 2018,0,0,
13. Dez. 2018,0,0,
14. Dez. 2018,0,0,
15. Dez. 2018,0,0,
16. Dez. 2018,0,0,
17. Dez. 2018,0,0,
18. Dez. 2018,0,0,
19. Dez. 2018,0,0,
20. Dez. 2018,0,0,
21. Dez. 2018,0,0,
22. Dez. 2018,0,0,
23. Dez. 2018,0,0,
24. Dez. 2018,0,0,
25. Dez. 2018,0,0,
26. Dez. 2018,0,0,
27. Dez. 2018,0,0,
28. Dez. 2018,0,0,
29. Dez. 2018,0,0,
30. Dez. 2018,0,0,
31. Dez. 2018,0,0,
1. Jan. 2019,0,0,
2. Jan. 2019,0,0,
3. Jan. 2019,0,0,
4. Jan. 2019,0,0,
5. Jan. 2019,0,0,
6. Jan. 2019,0,0,
7. Jan. 2019,0,0,
8. Jan. 2019,0,0,
9. Jan. 2019,0,0,
10. Jan. 2019,0,0,
11. Jan. 2019,0,0,
12. Jan. 2019,0,0,
13. Jan. 2019,0,0,
14. Jan. 2019,0,0,
15. Jan. 2019,0,0,
16. Jan. 2019,0,0,
17. Jan. 2019,0,0,
18. Jan. 2019,0,0,
19. Jan. 2019,0,0,
20. Jan. 2019,0,0,
21. Jan. 2019,0,0,
22. Jan. 2019,0,0,
23. Jan. 2019,0,0,
24. Jan. 2019,0,0,
25. Jan. 2019,0,0,
26. Jan. 2019,0,0,
27. Jan. 2019,0,0,
28. Jan. 2019,0,0,
29. Jan. 2019,0,0,
30. Jan. 2019,0,0,
31. Jan. 2019,0,0,
1. Feb. 2019,0,0,
2. Feb. 2019,0,0,
3. Feb. 2019,0,0,
4. Feb. 2019,0,0,
5. Feb. 2019,0,0,
6. Feb. 2019,0,0,
7. Feb. 2019,0,0,
8. Feb. 2019,0,0,
9. Feb. 2019,0,0,
10. Feb. 2019,0,0,
11. Feb. 2019,0,0,
12. Feb. 2019,0,0,
13. Feb. 2019,0,0,
14. Feb. 2019,0,0,
15. Feb. 2019,0,0,
16. Feb. 2019,0,0,
17. Feb. 2019,0,0,
18. Feb. 2019,0,0,
19. Feb. 2019,0,0,
20. Feb. 2019,0,0,
21. Feb. 2019,0,0,
22. Feb. 2019,0,0,
23. Feb. 2019,0,0,
24. Feb. 2019,0,0,
25. Feb. 2019,0,0,
26. Feb. 2019,0,0,
27. Feb. 2019,1,0,
28. Feb. 2019,0,0,
1. März 2019,0,0,
2. März 2019,0,0,
3. März 2019,0,0,
4. März 2019,0,0,
5. März 2019,0,0,
6. März 2019,0,0,
7. März 2019,0,0,
8. März 2019,0,0,
9. März 2019,0,0,
10. März 2019,0,0,
11. März 2019,0,0,
12. März 2019,0,0,
13. März 2019,0,0,
14. März 2019,0,0,
15. März 2019,0,0,
16. März 2019,0,0,
17. März 2019,0,0,
18. März 2019,0,0,
19. März 2019,0,0,
20. März 2019,0,0,
21. März 2019,0,0,
22. März 2019,0,0,
23. März 2019,0,0,
24. März 2019,0,0,
25. März 2019,0,0,
26. März 2019,0,0,
27. März 2019,0,0,
28. März 2019,0,0,
29. März 2019,0,0,
30. März 2019,0,0,
31. März 2019,0,0,
1. Apr. 2019,0,0,
2. Apr. 2019,0,0,
3. Apr. 2019,0,0,
4. Apr. 2019,0,0,
5. Apr. 2019,0,0,
6. Apr. 2019,0,0,
7. Apr. 2019,0,0,
8. Apr. 2019,0,0,
9. Apr. 2019,0,0,
10. Apr. 2019,0,0,
11. Apr. 2019,0,0,
12. Apr. 2019,0,0,
13. Apr. 2019,0,0,
14. Apr. 2019,0,0,
15. Apr. 2019,0,0,
16. Apr. 2019,0,0,
17. Apr. 2019,0,0,
18. Apr. 2019,0,0,
19. Apr. 2019,0,0,
20. Apr. 2019,0,0,
21. Apr. 2019,0,0,
22. Apr. 2019,0,0,
23. Apr. 2019,0,0,
24. Apr. 2019,0,0,
25. Apr. 2019,0,0,
26. Apr. 2019,0,0,
27. Apr. 2019,0,0,
28. Apr. 2019,0,0,
29. Apr. 2019,0,0,
30. Apr. 2019,0,0,
1. Mai 2019,0,0,
2. Mai 2019,0,0,
3. Mai 2019,0,0,
4. Mai 2019,0,0,
5. Mai 2019,0,0,
6. Mai 2019,0,0,
7. Mai 2019,0,0,
8. Mai 2019,0,0,
9. Mai 2019,0,0,
10. Mai 2019,0,0,
11. Mai 2019,0,0,
12. Mai 2019,0,0,
13. Mai 2019,0,0,
14. Mai 2019,0,0,
15. Mai 2019,0,0,
16. Mai 2019,0,0,
17. Mai 2019,0,0,
18. Mai 2019,0,0,
19. Mai 2019,0,0,
20. Mai 2019,0,0,
21. Mai 2019,0,0,
22. Mai 2019,0,0,
23. Mai 2019,0,0,
24. Mai 2019,0,0,
25. Mai 2019,0,0,
26. Mai 2019,0,0,
27. Mai 2019,0,0,
28. Mai 2019,0,0,
29. Mai 2019,0,0,
30. Mai 2019,0,0,
31. Mai 2019,0,0,
1. Juni 2019,0,0,
2. Juni 2019,0,0,
3. Juni 2019,0,0,
4. Juni 2019,0,0,
5. Juni 2019,0,0,
6. Juni 2019,0,0,
7. Juni 2019,0,0,
8. Juni 2019,0,0,
9. Juni 2019,0,0,
10. Juni 2019,0,0,
11. Juni 2019,0,0,
12. Juni 2019,0,0,
13. Juni 2019,0,0,
14. Juni 2019,0,0,
15. Juni 2019,0,0,
16. Juni 2019,0,0,
17. Juni 2019,0,0,
18. Juni 2019,0,0,
19. Juni 2019,0,0,
20. Juni 2019,0,0,
21. Juni 2019,0,0,
22. Juni 2019,0,0,
23. Juni 2019,0,0,
24. Juni 2019,0,0,
25. Juni 2019,0,0,
26. Juni 2019,0,0,
27. Juni 2019,0,0,
28. Juni 2019,0,0,
29. Juni 2019,0,0,
30. Juni 2019,0,0,
1. Juli 2019,0,0,
2. Juli 2019,0,0,
3. Juli 2019,0,0,
4. Juli 2019,0,0,
5. Juli 2019,0,0,
6. Juli 2019,1,0,
7. Juli 2019,0,0,
8. Juli 2019,0,0,
9. Juli 2019,0,0,
10. Juli 2019,0,0,
11. Juli 2019,0,0,
12. Juli 2019,0,0,
13. Juli 2019,0,0,
14. Juli 2019,0,0,
15. Juli 2019,0,0,
16. Juli 2019,0,0,
17. Juli 2019,0,0,
18. Juli 2019,0,0,
19. Juli 2019,0,0,
20. Juli 2019,0,0,
21. Juli 2019,0,0,
22. Juli 2019,0,0,
23. Juli 2019,0,0,
24. Juli 2019,0,0,
25. Juli 2019,0,0,
26. Juli 2019,0,0,
27. Juli 2019,0,0,
28. Juli 2019,0,0,
29. Juli 2019,0,0,"Messwertaktualisierung: Die Messwerte für Akquisitionen und Verluste nach Nutzer und Gerät wurden aktualisiert, um die Genauigkeit zu erhöhen."
30. Juli 2019,0,0,
31. Juli 2019,0,0,
1. Aug. 2019,0,0,
2. Aug. 2019,0,0,
3. Aug. 2019,0,0,
4. Aug. 2019,0,0,
5. Aug. 2019,0,0,
6. Aug. 2019,0,0,
7. Aug. 2019,0,0,
8. Aug. 2019,0,0,
9. Aug. 2019,0,0,
10. Aug. 2019,0,0,
11. Aug. 2019,0,0,
12. Aug. 2019,0,0,
13. Aug. 2019,0,0,
14. Aug. 2019,0,0,
15. Aug. 2019,0,0,
16. Aug. 2019,0,0,
17. Aug. 2019,0,0,
18. Aug. 2019,0,0,
19. Aug. 2019,0,0,
20. Aug. 2019,0,0,
21. Aug. 2019,0,0,
22. Aug. 2019,0,0,
23. Aug. 2019,0,0,
24. Aug. 2019,0,0,
25. Aug. 2019,0,0,
26. Aug. 2019,0,0,
27. Aug. 2019,0,0,
28. Aug. 2019,0,0,
29. Aug. 2019,0,0,
30. Aug. 2019,0,0,
31. Aug. 2019,0,0,
1. Sept. 2019,0,0,
2. Sept. 2019,0,0,
3. Sept. 2019,0,0,
4. Sept. 2019,0,0,
5. Sept. 2019,0,0,
6. Sept. 2019,0,0,
7. Sept. 2019,0,0,
8. Sept. 2019,0,0,
9. Sept. 2019,0,0,
10. Sept. 2019,0,0,
11. Sept. 2019,0,0,
12. Sept. 2019,0,0,
13. Sept. 2019,0,0,
14. Sept. 2019,0,0,
15. Sept. 2019,0,0,
16. Sept. 2019,0,0,
17. Sept. 2019,0,0,
18. Sept. 2019,0,0,
19. Sept. 2019,0,0,
20. Sept. 2019,0,0,
21. Sept. 2019,0,0,
22. Sept. 2019,0,0,
23. Sept. 2019,0,0,
24. Sept. 2019,0,0,
25. Sept. 2019,0,0,
26. Sept. 2019,0,0,
27. Sept. 2019,0,0,
28. Sept. 2019,0,0,
29. Sept. 2019,0,0,
30. Sept. 2019,0,0,
1. Okt. 2019,0,0,
2. Okt. 2019,0,0,
3. Okt. 2019,0,0,
4. Okt. 2019,0,0,
5. Okt. 2019,0,0,
6. Okt. 2019,0,0,
7. Okt. 2019,0,0,
8. Okt. 2019,0,0,
9. Okt. 2019,0,0,
10. Okt. 2019,0,0,
11. Okt. 2019,0,0,
12. Okt. 2019,0,0,
13. Okt. 2019,0,0,
14. Okt. 2019,0,0,
15. Okt. 2019,0,0,
16. Okt. 2019,0,0,
17. Okt. 2019,0,0,
18. Okt. 2019,0,0,
19. Okt. 2019,0,0,
20. Okt. 2019,0,0,
21. Okt. 2019,0,0,
22. Okt. 2019,0,0,
23. Okt. 2019,0,0,
24. Okt. 2019,0,0,
25. Okt. 2019,0,0,
26. Okt. 2019,0,0,
27. Okt. 2019,0,0,
28. Okt. 2019,0,0,
29. Okt. 2019,0,0,
30. Okt. 2019,0,0,
31. Okt. 2019,0,0,
1. Nov. 2019,0,0,
2. Nov. 2019,0,0,
3. Nov. 2019,0,0,
4. Nov. 2019,0,0,
5. Nov. 2019,0,0,
6. Nov. 2019,0,0,
7. Nov. 2019,0,0,
8. Nov. 2019,0,0,
9. Nov. 2019,0,0,
10. Nov. 2019,0,0,
11. Nov. 2019,0,0,
12. Nov. 2019,0,0,
13. Nov. 2019,0,0,
14. Nov. 2019,0,0,
15. Nov. 2019,0,0,
16. Nov. 2019,0,0,
17. Nov. 2019,0,0,
18. Nov. 2019,0,0,
19. Nov. 2019,0,0,
20. Nov. 2019,0,0,
21. Nov. 2019,0,0,
22. Nov. 2019,0,0,
23. Nov. 2019,0,0,
24. Nov. 2019,0,0,
25. Nov. 2019,0,0,
26. Nov. 2019,0,0,
27. Nov. 2019,0,0,
28. Nov. 2019,0,0,
29. Nov. 2019,0,0,
30. Nov. 2019,0,0,
1. Dez. 2019,0,0,
2. Dez. 2019,0,0,
3. Dez. 2019,0,0,
4. Dez. 2019,0,0,
5. Dez. 2019,0,0,
6. Dez. 2019,0,0,
7. Dez. 2019,0,0,
8. Dez. 2019,0,0,
9. Dez. 2019,0,0,
10. Dez. 2019,0,0,
11. Dez. 2019,0,0,
12. Dez. 2019,0,0,
13. Dez. 2019,0,0,
14. Dez. 2019,0,0,
15. Dez. 2019,0,0,
16. Dez. 2019,0,0,
17. Dez. 2019,0,0,
18. Dez. 2019,0,0,
19. Dez. 2019,0,0,
20. Dez. 2019,0,0,
21. Dez. 2019,0,0,
22. Dez. 2019,0,0,
23. Dez. 2019,0,0,
24. Dez. 2019,0,0,
25. Dez. 2019,0,0,
26. Dez. 2019,0,0,
27. Dez. 2019,0,0,
28. Dez. 2019,0,0,
29. Dez. 2019,0,0,
30. Dez. 2019,0,0,
31. Dez. 2019,0,0,
1. Jan. 2020,0,0,
2. Jan. 2020,0,0,
3. Jan. 2020,0,0,
4. Jan. 2020,0,0,
5. Jan. 2020,0,0,
6. Jan. 2020,0,0,
7. Jan. 2020,0,0,
8. Jan. 2020,0,0,
9. Jan. 2020,0,0,
10. Jan. 2020,0,0,
11. Jan. 2020,0,0,
12. Jan. 2020,0,0,
13. Jan. 2020,0,0,
14. Jan. 2020,0,0,
15. Jan. 2020,0,0,
16. Jan. 2020,0,0,
17. Jan. 2020,0,0,
18. Jan. 2020,0,0,
19. Jan. 2020,0,0,
20. Jan. 2020,0,0,
21. Jan. 2020,0,0,
22. Jan. 2020,0,0,
23. Jan. 2020,0,0,
24. Jan. 2020,0,0,
25. Jan. 2020,0,0,
26. Jan. 2020,0,0,
27. Jan. 2020,0,0,
28. Jan. 2020,0,0,
29. Jan. 2020,0,0,
30. Jan. 2020,0,0,
31. Jan. 2020,0,0,
1. Feb. 2020,0,0,
2. Feb. 2020,0,0,
3. Feb. 2020,0,0,
4. Feb. 2020,0,0,
5. Feb. 2020,0,0,
6. Feb. 2020,0,0,
7. Feb. 2020,0,0,
8. Feb. 2020,0,0,
9. Feb. 2020,0,0,
10. Feb. 2020,0,0,
11. Feb. 2020,0,0,
12. Feb. 2020,0,0,
13. Feb. 2020,0,0,
14. Feb. 2020,0,0,
15. Feb. 2020,0,0,
16. Feb. 2020,0,0,
17. Feb. 2020,0,0,
18. Feb. 2020,0,0,
19. Feb. 2020,0,0,
20. Feb. 2020,0,0,
21. Feb. 2020,0,0,
22. Feb. 2020,0,0,
23. Feb. 2020,0,0,
24. Feb. 2020,0,0,
25. Feb. 2020,0,0,
26. Feb. 2020,0,0,
27. Feb. 2020,0,0,
28. Feb. 2020,0,0,
29. Feb. 2020,0,0,
1. März 2020,0,0,
2. März 2020,0,0,
3. März 2020,0,0,
4. März 2020,0,0,
5. März 2020,0,0,
6. März 2020,0,0,
7. März 2020,0,0,
8. März 2020,0,0,
9. März 2020,0,0,
10. März 2020,0,0,
11. März 2020,0,0,
12. März 2020,0,0,
13. März 2020,0,0,
14. März 2020,0,0,
15. März 2020,0,0,
16. März 2020,0,0,
17. März 2020,0,0,
18. März 2020,0,0,
19. März 2020,0,0,
20. März 2020,0,0,
21. März 2020,0,0,
22. März 2020,0,0,
23. März 2020,0,0,
24. März 2020,0,0,
25. März 2020,0,0,
26. März 2020,0,0,
27. März 2020,0,0,
28. März 2020,0,0,
29. März 2020,0,0,
30. März 2020,0,0,
31. März 2020,0,0,
1. Apr. 2020,0,0,
2. Apr. 2020,0,0,
3. Apr. 2020,0,0,
4. Apr. 2020,0,0,
5. Apr. 2020,0,0,
6. Apr. 2020,0,0,
7. Apr. 2020,0,0,
8. Apr. 2020,0,0,
9. Apr. 2020,0,0,
10. Apr. 2020,0,0,
11. Apr. 2020,0,0,
12. Apr. 2020,0,0,
13. Apr. 2020,0,0,
14. Apr. 2020,0,0,
15. Apr. 2020,0,0,
16. Apr. 2020,0,0,
17. Apr. 2020,0,0,
18. Apr. 2020,0,0,
19. Apr. 2020,0,0,
20. Apr. 2020,0,0,
21. Apr. 2020,0,0,
22. Apr. 2020,0,0,
23. Apr. 2020,0,0,
24. Apr. 2020,0,0,
25. Apr. 2020,0,0,
26. Apr. 2020,0,0,
27. Apr. 2020,0,0,
28. Apr. 2020,0,0,
29. Apr. 2020,0,0,
30. Apr. 2020,0,0,
1. Mai 2020,0,0,
2. Mai 2020,0,0,
3. Mai 2020,0,0,
4. Mai 2020,0,0,
5. Mai 2020,0,0,
6. Mai 2020,0,0,
7. Mai 2020,0,0,
8. Mai 2020,0,0,
9. Mai 2020,0,0,
10. Mai 2020,0,0,
11. Mai 2020,0,0,
12. Mai 2020,0,0,
13. Mai 2020,0,0,
14. Mai 2020,0,0,
15. Mai 2020,0,0,
16. Mai 2020,0,0,
17. Mai 2020,0,0,
18. Mai 2020,0,0,
19. Mai 2020,0,0,
20. Mai 2020,0,0,
21. Mai 2020,0,0,
22. Mai 2020,0,0,
23. Mai 2020,0,0,
24. Mai 2020,0,0,
25. Mai 2020,0,0,
26. Mai 2020,0,0,
27. Mai 2020,0,0,
